radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,30502,72255235,-1,-82.3351,33.5,3753,29,1,1682157225,1777696382,0
LTE,310,410,9869,197423114,-1,-80.7338,35.0573,2081,22,1,1682615334,1777879204,0
LTE,310,260,31741,18620935,-1,-79.3211,34.4932,2798,49,1,1683117120,1772324578,0
LTE,310,260,31741,18620936,-1,-79.3375,34.4687,1000,22,1,1683117339,1772324576,0
LTE,310,260,31705,17133836,-1,-79.8249,34.2124,1198,15,1,1683119872,1740278533,0
LTE,310,260,31721,19183367,-1,-80.4335,33.52,5216,23,1,1683122874,1741049614,0
LTE,310,260,31721,34811925,-1,-80.4341,33.5193,4907,21,1,1683123782,1741049304,0
LTE,310,260,31720,16114188,-1,-80.0169,32.8396,529,50,1,1683127189,1740779778,0
LTE,310,260,31720,16024844,-1,-80.0174,32.8024,683,50,1,1683132122,1740779777,0
LTE,310,260,31720,16024845,-1,-80.0242,32.8062,825,26,1,1683132163,1740779777,0
LTE,310,410,9869,197560343,-1,-80.7053,35.0359,1570,50,1,1683276136,1749818771,0
LTE,310,410,9869,197470472,-1,-80.726,35.0244,1000,21,1,1683276326,1754620762,0
LTE,310,410,9876,197399816,-1,-80.706,34.991,2888,31,1,1683276366,1754620693,0
LTE,310,410,9877,198995374,-1,-80.5735,35.1611,3877,50,1,1683306807,1754192725,0
LTE,310,410,9869,199447212,-1,-80.6118,35.139,2447,22,1,1683307087,1754192725,0
LTE,310,410,9887,199474114,-1,-80.7589,35.245,1368,37,1,1683366730,1752834621,0
LTE,310,410,9887,197425929,-1,-80.7577,35.2334,1000,13,1,1683366740,1752834621,0
LTE,310,410,9880,199452823,-1,-80.7499,35.2323,1000,8,1,1683366810,1753152912,0
LTE,310,410,9872,199372975,-1,-80.8516,35.1555,1100,22,1,1683392776,1751123344,0
LTE,310,410,9877,199611052,-1,-80.5437,35.196,1000,14,1,1683481344,1766958184,0
LTE,310,410,9869,199574211,-1,-80.6993,35.051,870,50,1,1683490118,1754620692,0
LTE,310,410,9869,199608514,-1,-80.7047,35.0311,1702,30,1,1683490188,1754620692,0
LTE,310,410,9869,199471043,-1,-80.6892,35.0337,1204,45,1,1683490198,1754620693,0
LTE,310,410,9876,199470529,-1,-80.6941,35.0212,1242,24,1,1683490298,1754620693,0
LTE,310,410,9876,199470530,-1,-80.6877,35.0108,2078,32,1,1683490398,1754620692,0
LTE,310,410,9876,197422344,-1,-80.6928,35.0207,937,43,1,1683490888,1754620693,0
LTE,310,410,9869,197526026,-1,-80.7,35.0507,1887,25,1,1683491088,1754620692,0
LTE,310,260,31720,15782145,-1,-79.9705,32.7637,1287,50,1,1683190088,1740779772,0
LTE,310,260,31720,16039692,-1,-79.959,32.7748,636,50,1,1683526791,1740779776,0
LTE,310,410,9880,199537681,-1,-80.7899,35.1835,929,50,1,1683814310,1742185576,0
LTE,310,410,9874,199515664,-1,-80.8369,35.1907,1182,5,1,1683817943,1740061266,0
LTE,310,410,9874,199427344,-1,-80.8316,35.1877,1711,35,1,1683820263,1740061266,0
LTE,310,410,9869,199556012,-1,-80.7323,35.0878,1162,21,1,1683965432,1778195823,0
LTE,310,410,9869,199471278,-1,-80.7474,35.059,1674,26,1,1683965582,1775046183,0
LTE,310,410,9882,199489473,-1,-80.9687,35.2385,1526,27,1,1683969699,1776269881,0
