radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,310,260,1601,20653,0,-80.9927,35.0311,7608,49,1,1458585247,1771589004,0
LTE,310,260,31700,18093827,0,-82.5937,35.0523,13641,11,1,1458606441,1775433369,0
LTE,310,260,31701,18863105,0,-80.9949,34.4467,19902,32,1,1458606442,1773517211,0
LTE,310,260,31701,18892802,0,-80.9939,34.4572,1584,30,1,1458606442,1775773452,0
LTE,310,260,31701,18863107,0,-81.0303,34.4428,20189,31,1,1458606442,1775940396,0
LTE,310,260,31702,18756866,0,-81.4018,33.8549,3563,38,1,1458606443,1771588389,0
LTE,310,260,31702,18700289,0,-81.2367,34.0477,2996,8,1,1458606442,1775433267,0
LTE,310,260,31702,18753537,0,-81.2356,33.9735,20434,50,1,1458606442,1771588382,0
LTE,310,260,31702,18007810,0,-81.0215,33.8499,5710,32,1,1458606442,1775940384,0
LTE,310,260,31701,18892803,0,-80.9983,34.4886,15251,32,1,1458606442,1775773452,0
LTE,310,260,31700,18984451,0,-82.5312,35.0355,11208,24,1,1458606442,1775433369,0
LTE,310,260,31700,18518531,0,-82.5396,35.0838,3732,21,1,1458606441,1775433372,0
LTE,310,260,31700,19199747,0,-81.031,34.7056,10250,30,1,1458606442,1771588361,0
LTE,310,260,31701,18863106,0,-80.9956,34.3772,2205,28,1,1458606442,1772067094,0
LTE,310,260,31702,18755585,0,-81.3194,34.0127,17836,13,1,1458606443,1775433267,0
LTE,310,260,31702,19043331,0,-81.4073,33.8501,1271,50,1,1458606443,1771588390,0
LTE,310,260,31700,19199746,0,-81.0288,34.6605,1677,50,1,1458606442,1772067099,0
LTE,310,260,31702,18756865,0,-81.3637,33.8861,26515,50,1,1458606443,1771588389,0
LTE,310,260,31702,18850561,0,-81.608,34.3488,2597,31,1,1458606443,1775433257,0
LTE,310,260,31703,18774787,0,-83.2615,34.3746,4138,50,1,1458606444,1753469222,0
LTE,310,260,31703,18973187,0,-83.3054,34.3535,8800,50,1,1458606444,1753469401,0
LTE,310,260,31703,18973185,0,-83.2841,34.3667,13567,50,1,1458606444,1753469161,0
LTE,310,260,31703,18774785,0,-83.2518,34.3783,27095,50,1,1458606444,1753469161,0
LTE,310,260,31740,17941762,0,-80.9878,34.8996,5210,22,1,1458606459,1771588327,0
LTE,310,260,31740,17163267,0,-81.0203,35.0736,1000,2,1,1456566197,1758053641,0
LTE,310,260,31740,18751747,0,-81.006,34.8655,2583,50,1,1458606459,1771588324,0
LTE,310,260,31721,18779906,0,-80.8367,32.7377,3642,47,1,1458606454,1752441488,0
LTE,310,260,31740,17160962,0,-80.959,35.0466,2185,27,1,1458606459,1771588297,0
LTE,310,260,31740,17161475,0,-80.9698,35.015,5301,35,1,1458606459,1771588297,0
LTE,310,260,31740,18748675,0,-81.2612,35.0147,2373,27,1,1458606459,1775433395,0
LTE,310,260,31740,17161473,0,-80.962,35.035,1759,32,1,1458606459,1772453344,0
LTE,310,260,31740,17163011,0,-80.9684,35,5964,15,1,1458606459,1773448146,0
LTE,310,260,31740,18752001,0,-81.0629,34.9496,3503,50,1,1458606459,1773517203,0
LTE,310,260,31740,18748931,0,-81.0635,34.8246,6886,32,1,1458606459,1771588326,0
LTE,310,260,31740,17161474,0,-80.9714,35.0067,6231,19,1,1458606459,1771588321,0
LTE,310,260,31740,18751745,0,-80.9916,34.8969,1565,50,1,1458606459,1771588323,0
LTE,310,260,31721,18779905,0,-80.8182,32.7593,1931,50,1,1458606454,1752441489,0
LTE,310,260,31740,17162755,0,-81.0442,34.9347,3396,13,1,1458606459,1771801206,0
LTE,310,260,31740,17160963,0,-80.9571,35.06,1000,22,1,1458606459,1771588295,0
LTE,310,260,31740,18752002,0,-81.0434,34.9204,6076,28,1,1458606459,1771801206,0
LTE,310,410,8839,42351887,0,-85.6616,35.0322,18819,27,1,1458628815,1773926701,0
LTE,310,410,9101,42267914,0,-85.236,35.0081,1564,27,1,1458628855,1782929161,0
LTE,310,410,9101,42269712,0,-85.3356,34.4989,15131,10,1,1458628855,1748566262,0
LTE,310,410,9101,42343176,0,-85.2736,35.0572,3936,27,1,1458628855,1747005303,0
LTE,310,410,9101,42243082,0,-85.3104,35.0555,7275,50,1,1458628853,1748327792,0
LTE,310,410,9101,42342922,0,-85.3315,35.019,2330,28,1,1458628855,1779922811,0
LTE,310,410,9101,42250248,0,-85.1317,35.0327,5552,26,1,1458628854,1767891901,0
LTE,310,410,9101,42245393,0,-85.2631,35.0197,19529,50,1,1458628853,1773852421,0
